glossary@key,locale,value,key
no-new-notifications,en-US,There are no notifications at the moment.,no-new-notifications-en-US
no-new-notifications,de-DE,Momentan liegen keine Benachrichtigungen vor..,no-new-notifications-de-DE
notification_mark-all-as-read,en-US,Mark all as read,notification_mark-all-as-read-en-US
notification_mark-all-as-read,de-DE,Alles als gelesen markieren,notification_mark-all-as-read-de-DE
notification_mark-as-unread,en-US,Mark as unread,notification_mark-as-unread-en-US
notification_mark-as-unread,de-DE,Als ungelesen markieren,notification_mark-as-unread-de-DE
notification_mark-as-read,en-US,Mark as read,notification_mark-as-read-en-US
notification_mark-as-read,de-DE,Als gelesen markieren,notification_mark-as-read-de-DE
notification,en-US,Notifications,notification-en-US
notification,de-DE,Benachrichtigungen,notification-de-DE
notification-view-detail-cta,en-US,Click <1>here</1> to see details.,notification-view-detail-cta-en-US
notification-view-detail-cta,de-DE,"Klicken Sie <1>hier</1>, um Details anzuzeigen.",notification-view-detail-cta-de-DE
notification-headline_recent,en-US,Recent,notification-headline_recent-en-US
notification-headline_recent,de-DE,Jüngste,notification-headline_recent-de-DE
notification-headline_older,en-US,Older,notification-headline_older-en-US
notification-headline_older,de-DE,Älter,notification-headline_older-de-DE
notification-show-more,en-US,Show more,notification-show-more-en-US
notification-show-more,de-DE,Zeig Mehr,notification-show-more-de-DE
notification-toggle-unread,en-US,Unread,notification-toggle-unread-en-US
notification-toggle-unread,de-DE,Ungelesen,notification-toggle-unread-de-DE
notification-toggle-all,en-US,All,notification-toggle-all-en-US
notification-toggle-all,de-DE,Alle,notification-toggle-all-de-DE
powered-by,en-US,Powered By,powered-by-en-US
powered-by,de-DE,Unterstützt von,powered-by-de-DE
login,en-US,Sign in,login-en-US
login,de-DE,Anmelden,login-de-DE
login-subheading,en-US,Sign in to your account with your email and password or use other authentication methods.,login-subheading-en-US
login-subheading,de-DE,Melden Sie sich mit Ihrer E-Mail-Adresse und Ihrem Passwort bei Ihrem Konto an oder verwenden Sie andere Authentifizierungsmethoden.,login-subheading-de-DE
social-login.google,en-US,sign in with Google,social-login.google-en-US
social-login.google,de-DE,Anmeldung mit Google,social-login.google-de-DE
social-login.linkedin,en-US,sign in with LinkedIn,social-login.linkedin-en-US
social-login.linkedin,de-DE,Melden Sie sich mit LinkedIn an,social-login.linkedin-de-DE
social-login.apple,en-US,sign in with Apple,social-login.apple-en-US
social-login.apple,de-DE,Melden Sie sich bei Apple an,social-login.apple-de-DE
register,en-US,Register,register-en-US
register,de-DE,Registrieren,register-de-DE
loader-text,en-US,Loading,loader-text-en-US
loader-text,de-DE,Laden,loader-text-de-DE
title_home,en-US,ROQ One Dashboard,title_home-en-US
title_home,de-DE,ROQ One Dashboard,title_home-de-DE
title_message-center,en-US,Message center,title_message-center-en-US
title_message-center,de-DE,Nachrichtenzentrum,title_message-center-de-DE
title_profile,en-US,User profile,title_profile-en-US
title_profile,de-DE,Benutzerprofil,title_profile-de-DE
title_files,en-US,Files,title_files-en-US
title_files,de-DE,Dateien,title_files-de-DE
title_settings,en-US,Settings,title_settings-en-US
title_settings,de-DE,Einstellung,title_settings-de-DE
title_users,en-US,Users,title_users-en-US
title_users,de-DE,Internetnutzer,title_users-de-DE
title_edit-user,en-US,Edit User,title_edit-user-en-US
title_edit-user,de-DE,Benutzer bearbeiten,title_edit-user-de-DE
subtitle_edit-user,en-US,Provide below requested information for the new user details,subtitle_edit-user-en-US
subtitle_edit-user,de-DE,Geben Sie die unten angeforderten Informationen für die neuen Benutzerdetails an,subtitle_edit-user-de-DE
title_invites,en-US,Invites,title_invites-en-US
title_invites,de-DE,Einladungen,title_invites-de-DE
link-text.imprint,en-US,Imprint,link-text.imprint-en-US
link-text.imprint,de-DE,Impressum,link-text.imprint-de-DE
link-text.terms,en-US,Terms & Conditions,link-text.terms-en-US
link-text.terms,de-DE,Allgemeine Geschäftsbedingungen,link-text.terms-de-DE
link-text.privacy,en-US,Privacy Notice,link-text.privacy-en-US
link-text.privacy,de-DE,Datenschutzerklärung,link-text.privacy-de-DE
link-text.data-preference,en-US,Data Preferences,link-text.data-preference-en-US
link-text.data-preference,de-DE,Dateneinstellungen,link-text.data-preference-de-DE
password_unmask,en-US,Show Password,password_unmask-en-US
password_unmask,de-DE,Passwort anzeigen,password_unmask-de-DE
password_mask,en-US,Hide Password,password_mask-en-US
password_mask,de-DE,Passwort verbergen,password_mask-de-DE
languages.full_en-US,en-US,English (USA),languages.full_en-US-en-US
languages.full_en-US,de-DE,English (USA),languages.full_en-US-de-DE
languages.full_de-DE,en-US,German,languages.full_de-DE-en-US
languages.full_de-DE,de-DE,Deutsch,languages.full_de-DE-de-DE
languages.short_en-US,en-US,EN (US),languages.short_en-US-en-US
languages.short_en-US,de-DE,EN (US),languages.short_en-US-de-DE
languages.short_de-DE,en-US,DE,languages.short_de-DE-en-US
languages.short_de-DE,de-DE,DE,languages.short_de-DE-de-DE
