mailType@key,locale,sendGridTemplateIdentifier,payload,key
CONFIRM_MAIL,en-US,d-4bfcf4fd0a7c42828b0df56feedf358d,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}, ""url"": ""{{BASE_URL}}/account-activate?token={{directlyInjectedVariables.token}}""}",CONFIRM_MAIL-en-US
CONFIRM_MAIL,de-DE,d-3a09667c468844639280bf8d0bcd2c05,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}, ""url"": ""{{BASE_URL}}/de/profil-aktivierung?token={{directlyInjectedVariables.token}}""}",CONFIRM_MAIL-de-DE
WELCOME_USER_MAIL,en-US,d-eb36a6ecabc043779011857312735809,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""},""url"":""{{BASE_URL}}""}",WELCOME_USER_MAIL-en-US
WELCOME_USER_MAIL,de-DE,d-57a581c67b1e472885a3f92584ebe0af,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""},""url"":""{{BASE_URL}}""}",WELCOME_USER_MAIL-de-DE
RESET_PASSWORD_MAIL,en-US,d-adbc2c8cfc094d4aada643ebcbe1fea6,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}, ""url"": ""{{BASE_URL}}/restore-password?token={{directlyInjectedVariables.token}}""}",RESET_PASSWORD_MAIL-en-US
RESET_PASSWORD_MAIL,de-DE,d-e24647d5627c488d8f97716f6ad60e0b,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}, ""url"": ""{{BASE_URL}}/de/passwort-wiederherstellen?token={{directlyInjectedVariables.token}}""}",RESET_PASSWORD_MAIL-de-DE
USER_INVITE_MAIL,en-US,d-93ca6dace8db49328264c41e6166da3c,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}, ""url"": ""{{BASE_URL}}/accept-invite?token={{directlyInjectedVariables.token}}""}",USER_INVITE_MAIL-en-US
USER_INVITE_MAIL,de-DE,d-190df4227cae4fc6a265a0c499c93103,"{""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}, ""url"": ""{{BASE_URL}}/de/einladung-akzeptieren?token={{directlyInjectedVariables.token}}""}",USER_INVITE_MAIL-de-DE
USER_INFO_MAIL,en-US,d-b938595333184611bfd7de26f863fd4b,"{""recipient"":{""firstName"":""{{recipient.firstName}}"",""lastName"":""{{recipient.lastName}}""},""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}}",USER_INFO_MAIL-en-US
USER_INFO_MAIL,de-DE,d-21fdc212a61f485c98c029fedea2f299,"{""recipient"":{""firstName"":""{{recipient.firstName}}"",""lastName"":""{{recipient.lastName}}""},""user"":{""firstName"":""{{user.firstName}}"",""lastName"":""{{user.lastName}}""}}",USER_INFO_MAIL-de-DE
FILES_NEW_MAIL,en-US,d-ca0b31facf8947b59c31238513806f31,"{""recipient"":{""firstName"":""{{recipient.firstName}}"",""lastName"":""{{recipient.lastName}}""},""user"":{""firstName"":""{{creator.firstName}}"",""lastName"":""{{creator.lastName}}""},""fileName"":""{{file.name}}"",""fileUrl"":""{{BASE_URL}}/files""}",FILES_NEW_MAIL-en-US
FILES_NEW_MAIL,de-DE,d-5a36c48664e741bbbc3f257a6d3ff888,"{""recipient"":{""firstName"":""{{recipient.firstName}}"",""lastName"":""{{recipient.lastName}}""},""user"":{""firstName"":""{{creator.firstName}}"",""lastName"":""{{creator.lastName}}""},""fileName"":""{{file.name}}"",""fileUrl"":""{{BASE_URL}}/files""}",FILES_NEW_MAIL-de-DE
